"","id","date","amount"
"1",106,2019-01-04,18
"2",135,2019-01-06,276
"3",149,2019-01-12,50
"4",87,2019-01-13,173
"5",126,2019-01-16,36
"6",112,2019-01-19,130
"7",25,2019-01-21,318
"8",42,2019-01-22,29
"9",60,2019-01-22,180
"10",32,2019-01-24,143
"11",37,2019-01-24,27
"12",77,2019-01-25,83
"13",62,2019-01-26,19
"14",97,2019-01-29,31
"15",83,2019-02-05,384
"16",31,2019-02-06,178
"17",97,2019-02-06,58
"18",28,2019-02-06,473
"19",54,2019-02-08,104
"20",87,2019-02-09,35
"21",51,2019-02-09,43
"22",89,2019-02-09,73
"23",42,2019-02-12,11
"24",77,2019-02-12,848
"25",112,2019-02-13,18
"26",15,2019-02-13,47
"27",148,2019-02-16,31
"28",149,2019-02-17,38
"29",10,2019-02-17,39
"30",106,2019-02-19,80
"31",37,2019-02-21,41
"32",60,2019-02-25,295
"33",23,2019-03-01,41
"34",143,2019-03-04,59
"35",57,2019-03-05,22
"36",148,2019-03-05,82
"37",83,2019-03-05,42
"38",51,2019-03-06,75
"39",121,2019-03-07,106
"40",97,2019-03-08,162
"41",15,2019-03-08,53
"42",23,2019-03-13,105
"43",75,2019-03-16,19
"44",49,2019-03-16,215
"45",60,2019-03-20,80
"46",42,2019-03-23,9
"47",77,2019-03-23,59
"48",87,2019-04-04,93
"49",59,2019-04-04,264
"50",49,2019-04-05,169
"51",143,2019-04-07,65
"52",154,2019-04-11,442
"53",57,2019-04-12,50
"54",148,2019-04-13,57
"55",48,2019-04-13,63
"56",96,2019-04-15,174
"57",15,2019-04-18,71
"58",28,2019-04-19,92
"59",42,2019-04-20,132
"60",121,2019-04-20,165
"61",97,2019-04-21,19
"62",101,2019-04-24,31
"63",51,2019-04-27,179
"64",60,2019-04-28,126
"65",37,2019-04-29,21
"66",13,2019-05-02,154
"67",138,2019-05-04,104
"68",87,2019-05-05,73
"69",128,2019-05-06,28
"70",63,2019-05-07,17
"71",23,2019-05-08,20
"72",59,2019-05-08,30
"73",51,2019-05-10,74
"74",48,2019-05-10,7
"75",98,2019-05-10,62
"76",82,2019-05-10,227
"77",24,2019-05-13,51
"78",39,2019-05-14,34
"79",97,2019-05-15,63
"80",126,2019-05-15,214
"81",135,2019-05-16,19
"82",27,2019-05-16,62
"83",144,2019-05-17,255
"84",143,2019-05-18,146
"85",79,2019-05-23,29
"86",37,2019-05-24,74
"87",77,2019-05-25,25
"88",160,2019-05-25,131
"89",49,2019-05-28,20
"90",37,2019-06-03,72
"91",28,2019-06-04,14
"92",51,2019-06-06,21
"93",59,2019-06-06,90
"94",121,2019-06-08,141
"95",63,2019-06-08,122
"96",97,2019-06-10,164
"97",13,2019-06-10,300
"98",45,2019-06-10,58
"99",73,2019-06-10,267
"100",128,2019-06-13,25
"101",2,2019-06-13,117
"102",49,2019-06-14,27
"103",143,2019-06-16,86
"104",25,2019-06-19,56
"105",101,2019-06-19,113
"106",79,2019-06-19,174
"107",96,2019-06-21,249
"108",57,2019-06-23,102
"109",54,2019-06-25,127
"110",137,2019-06-25,68
"111",69,2019-06-25,5
"112",48,2019-06-26,69
"113",160,2019-06-26,77
"114",128,2019-07-02,74
"115",87,2019-07-03,15
"116",98,2019-07-03,103
"117",110,2019-07-04,76
"118",82,2019-07-09,72
"119",73,2019-07-10,57
"120",160,2019-07-10,415
"121",45,2019-07-13,77
"122",127,2019-07-13,277
"123",44,2019-07-14,42
"124",51,2019-07-14,117
"125",96,2019-07-14,11
"126",102,2019-07-16,52
"127",37,2019-07-17,36
"128",57,2019-07-17,63
"129",94,2019-07-17,7
"130",97,2019-07-18,21
"131",23,2019-07-22,9
"132",39,2019-07-22,122
"133",126,2019-07-23,8
"134",59,2019-07-23,44
"135",48,2019-07-25,214
"136",2,2019-07-26,40
"137",101,2019-07-27,311
"138",160,2019-08-02,153
"139",101,2019-08-03,103
"140",28,2019-08-04,104
"141",69,2019-08-04,53
"142",106,2019-08-06,98
"143",143,2019-08-07,12
"144",154,2019-08-08,169
"145",62,2019-08-09,136
"146",96,2019-08-09,41
"147",102,2019-08-10,364
"148",56,2019-08-11,10
"149",57,2019-08-13,102
"150",128,2019-08-15,8
"151",110,2019-08-17,27
"152",48,2019-08-18,35
"153",2,2019-08-18,99
"154",127,2019-08-18,19
"155",77,2019-08-19,59
"156",94,2019-08-19,412
"157",59,2019-08-21,220
"158",37,2019-08-23,120
"159",98,2019-08-23,190
"160",51,2019-08-24,94
"161",87,2019-08-27,56
"162",142,2019-08-29,24
"163",130,2019-09-02,22
"164",137,2019-09-03,51
"165",102,2019-09-03,70
"166",47,2019-09-04,14
"167",101,2019-09-06,15
"168",94,2019-09-06,18
"169",62,2019-09-07,50
"170",98,2019-09-07,107
"171",35,2019-09-11,67
"172",87,2019-09-12,45
"173",37,2019-09-12,66
